Trait	TraitID	Artemisia arctica	Betula glandulosa	Betula nana	Dryas drummondii	Dryas integrifolia	Dryas octopetala	Pedicularis lapponica	Rubus chamaemorus	Salix alaxensis	Salix arbusculoides	Salix arctica	Salix candida	Salix chamissonis	Salix fuscescens	Salix glauca	Salix herbacea	Salix ovalifolia	Salix phlebophylla	Salix planifolia	Salix polaris	Salix pulchra	Salix reticulata	Salix rotundifolia	Stellaria longipes	Salix barclayi	Salix commutata	Salix niphoclada	Salix arctophila	Artemisia arctica ssp arctica	Dryas octopetala ssp octopetala	Salix athabascensis	Artemisia globularia	Artemisia glomerata	Dryas drummondii var eglandulosa	Dryas drummondii var tomentosa	Salix alaxensis var longistylis	Salix ovalifolia var arctolitoralis	Salix ovalifolia var cyclophylla	Salix ovalifolia var glacialis	Salix ovalifolia var ovalifolia
Flower sexual self-incompatibility mechanism	211	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Flower sexual syndrome (dichogamy, cleistogamy, dioecious, monoecious)	915	0	0	3	0	0	6	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Flowering requirement (requirement for fertility)	597	0	0	1	1	0	1	0	1	1	0	0	1	0	1	0	0	0	0	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Fruit type	99	0	0	2	0	0	2	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fruit/seed abundance	605	0	0	1	1	0	1	0	1	0	1	0	1	0	1	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fruit/seed color	585	0	0	1	1	0	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf area (in case of compound leaves undefined if leaf or leaflet, undefined if petiole is in- or e	3114	0	0	1	0	0	3	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf area (in case of compound leaves: leaf, petiole excluded)	3108	0	0	6	0	0	3	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf area (in case of compound leaves: leaf, undefined if petiole in- or excluded)	3112	0	0	7	0	1	5	2	3	0	0	2	0	0	0	1	2	0	0	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf area (in case of compound leaves: leaflet, petiole excluded)	3109	0	0	96	0	0	21	6	5	0	0	0	0	0	0	40	66	0	0	0	1	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf area (in case of compound leaves: leaflet, undefined if petiole is in- or excluded)	3113	0	0	7	0	2	6	2	3	0	0	3	0	0	0	2	2	0	0	2	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded	3115	0	0	30	0	2	44	9	33	0	0	2	0	0	0	2	8	0	0	0	8	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf calcium (Ca) content per leaf dry mass	252	0	0	4	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf carbon (C) content per leaf area	570	0	0	15	0	0	5	6	8	0	0	1	0	0	0	8	12	0	0	0	0	99	4	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf carbon (C) content per leaf dry mass	13	0	0	15	0	0	5	6	10	0	0	1	0	0	0	8	12	0	0	0	0	100	4	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf carbon/nitrogen (C/N) ratio	146	0	0	8	0	0	2	3	3	0	0	1	0	0	0	8	6	0	0	0	0	100	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf carotenoid content per leaf dry mass	809	0	0	2	0	0	3	0	3	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf chlorophyll a/b ratio	416	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf chlorophyll content per leaf area	413	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf chlorophyll content per leaf dry mass	164	0	0	3	0	0	6	0	4	0	0	0	0	0	0	2	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf density (leaf tissue density, leaf dry mass per leaf volume)	48	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf distribution along the shoot axis (arrangement type)	16	0	0	11	0	0	7	4	13	1	1	1	0	0	0	3	18	0	0	0	3	1	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf dry mass loss during leaf senescence	933	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	47	0	0	59	0	0	60	15	26	0	0	0	0	0	0	17	16	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf emergences (pubescence, pruinescence, hairs, spines, thorns)	677	0	0	3	0	0	3	0	0	0	0	3	0	0	0	3	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf length excluding petiole (leaf lamina length)	940	0	0	2	0	0	2	0	0	0	0	2	0	0	0	2	2	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf lignin content per leaf dry mass	87	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf magnesium (Mg) content per leaf dry mass	257	0	0	4	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf margin type	963	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf minus soil nitrogen (N) isotope signature (leaf delta 15N minus soil delta 15N)	79	0	0	23	0	0	25	7	0	0	0	6	0	0	0	0	6	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf nitrogen (N) content per leaf	57	0	0	1	0	1	2	1	1	0	0	1	0	0	0	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf nitrogen (N) isotope signature (delta 15N)	78	0	0	87	0	0	25	7	38	0	0	6	0	0	0	0	6	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf petiole length	143	0	0	5	0	0	0	0	2	0	0	0	0	0	0	1	4	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf pH	615	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf phosphorus (P) content per leaf area	51	0	0	17	0	7	3	0	6	0	0	0	0	0	0	1	8	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf photosynthesis drawdown of CO2 concentration from ambient airspace to intercellular airspace	3126	0	0	2	0	0	0	0	2	0	0	0	0	0	2	3	0	0	0	3	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf porosity	583	0	0	2	2	0	2	0	2	2	2	0	2	0	2	2	0	0	0	2	2	2	2	0	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf potassium (K) content per leaf area	52	0	0	3	0	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf potassium (K) content per leaf dry mass	44	0	0	5	0	3	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf respiration rate in the dark per leaf area	54	0	0	1	0	6	7	0	0	0	0	0	0	0	0	16	0	0	0	9	1	6	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf respiration rate in the dark per leaf dry mass	41	0	0	1	0	5	6	0	2	0	0	0	0	0	0	20	0	0	0	14	1	5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf shape	154	0	0	9	0	0	7	0	6	0	0	0	0	0	0	2	6	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf texture (sclerophylly, physical strength, toughness)	2	0	0	2	1	0	2	0	2	1	1	0	1	0	1	1	1	0	0	1	1	1	2	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf thickness	46	0	0	2	0	0	6	2	2	0	0	0	0	0	0	1	2	0	0	0	2	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf water content per leaf dry mass (not saturated)	3120	0	0	8	0	0	34	2	2	0	0	0	0	0	0	2	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Litter carbon (C) content per litter dry mass	72	0	0	3	0	0	2	3	3	0	0	0	0	0	0	0	2	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Litter cellulose content per litter dry mass	76	0	0	4	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Litter decomposition rate	39	0	0	25	0	10	10	4	12	0	0	0	0	0	0	0	5	0	0	0	5	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Litter lignin content per litter dry mass	73	0	0	3	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Litter nitrogen (N) content per litter dry mass	70	0	0	7	0	2	3	4	6	0	0	0	0	0	0	0	3	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Litter phosphorus (P) content per litter dry mass	71	0	0	7	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Litter SLA (leaf area per leaf dry mass, specific leaf area, 1/LMA of leaf litter)	69	0	0	2	0	0	2	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Litter tannin content per litter dry mass	74	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mycorrhizal colonization: classified fractions of root length that contain mycorrhizae	1433	0	0	3	0	0	0	0	8	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mycorrhizal infection intensity	1030	0	0	4	0	0	1	0	9	0	0	0	0	0	0	3	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plant biomass and allometry: Branch dry mass (alive, dead) per plant	449	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plant biomass and allometry: Seed number per plant	131	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plant biomass and allometry: Shoot dry mass (plant aboveground dry mass) per plant	403	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plant biomass and allometry: Stem dry mass per plant	128	0	0	25	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plant clonal growth form	341	0	0	5	0	0	3	2	9	0	0	0	0	0	0	0	13	0	0	0	2	1	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plant defence mechanisms: physical	345	0	0	2	0	0	3	0	2	0	0	0	0	0	0	0	5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plant growth rate	587	0	0	2	1	1	2	1	2	1	1	1	1	0	0	1	1	0	0	2	2	2	2	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Plant height generative	3107	0	0	20	0	0	13	7	20	0	0	0	0	0	0	7	19	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plant height versus plant width relationship	1016	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plant life form (Raunkiaer life form)	343	0	0	13	0	0	7	0	6	0	0	0	0	0	0	0	7	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plant light requirement	788	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plant mating system	347	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plant moisture use type	599	0	0	1	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Plant mono/poly carpic	1029	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plant morphological adaptations: shoot metamorphoses	817	0	0	5	0	0	4	1	4	0	0	0	0	0	0	1	5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plant number of offspring shoots per parent shoot per year	361	0	0	5	0	0	3	2	9	0	0	0	0	0	0	0	13	0	0	0	2	1	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plant nutrition mode (heterotrophy)	201	0	0	3	0	0	3	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Plant ontogeny: age of maturity (first flowering)	155	0	0	3	0	0	5	2	8	0	0	0	0	0	0	0	7	0	0	0	2	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plant vegetative regeneration species offspring size relative to parent	1008	0	0	5	0	0	3	2	9	0	0	0	0	0	0	0	13	0	0	0	2	1	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plant vegetative reproduction: clonality of ramets	329	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plant vegetative reproduction: lateral spread	334	0	0	5	0	0	3	2	9	0	0	0	0	0	0	0	13	0	0	0	2	1	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plant vegetative reproduction: pattern forming	1206	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plant vegetative reproduction: persistence of connection between clonal growth organs	358	0	0	5	0	0	3	2	9	0	0	0	0	0	0	0	13	0	0	0	2	1	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plant vegetative reproduction: role of clonal growth organ in plant growth	357	0	0	5	0	0	3	2	9	0	0	0	0	0	0	0	13	0	0	0	2	1	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plant vegetative reproduction: spread rate	613	0	0	1	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Pollen diameter	1042	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root dry mass per ground area	798	0	0	2	0	8	2	0	1	0	0	5	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root dry mass to leaf dry mass ratio	1482	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root nitrogen (N) content per root dry mass	80	0	0	3	0	1	3	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root nitrogen (N) uptake preference: ammonium (NH4+), nitrate (NO3-), organic nitrogen (N)	1472	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root position along clonal growth organ	1093	0	0	5	0	0	3	2	9	0	0	0	0	0	0	0	13	0	0	0	2	1	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root/shoot ratio	9	0	0	2	0	8	3	0	1	0	0	5	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seed (seedbank) longevity	33	0	0	12	0	0	12	1	7	0	0	0	0	0	0	4	11	0	0	0	2	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seed germination temperature	353	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seed germination type	1102	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seed morphology type	350	0	0	4	0	0	5	0	2	0	0	0	0	0	0	3	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seed number per dispersal unit	351	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seed number per inflorescence (total, fertile, infertile)	1104	0	0	1	0	0	4	0	13	0	0	0	0	0	0	3	7	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seed number per reproducton unit	138	0	0	12	0	0	14	0	28	0	0	0	0	0	0	4	4	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seed spread rate	610	0	0	1	1	0	1	0	1	0	1	0	1	0	1	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seed structure type	1108	0	0	4	0	0	4	0	2	0	0	0	0	0	0	3	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seed terminal velocity	66	0	0	76	0	0	13	0	0	0	0	0	0	0	0	25	25	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seedbank density	1111	0	0	11	0	0	13	1	6	0	0	0	0	0	0	4	9	0	0	0	2	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seedbank duration	2809	0	0	11	0	0	10	1	6	0	0	0	0	0	0	4	9	0	0	0	2	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seedbank number of layers	2807	0	0	10	0	0	10	0	6	0	0	0	0	0	0	4	7	0	0	0	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seedbank thickness of top layer	2808	0	0	8	0	0	4	0	6	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seedbank type	159	0	0	23	0	0	22	2	13	0	0	0	0	0	0	8	19	0	0	0	4	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seeding frequency	359	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shoot branching type; shoot branching architecture	140	0	0	11	0	0	5	3	10	0	0	0	0	0	0	1	15	0	0	0	2	1	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shoot cyclicity	1118	0	0	5	0	0	3	2	6	0	0	0	0	0	0	0	12	0	0	0	2	1	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species environmental indicator value according to Ellenberg: continentality	1130	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species environmental indicator value according to Ellenberg: light	1131	0	0	3	0	0	2	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species environmental indicator value according to Ellenberg: moisture	1132	0	0	3	0	0	2	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species environmental indicator value according to Ellenberg: nitrogen	1133	0	0	2	0	0	2	0	4	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species environmental indicator value according to Ellenberg: pH 	1134	0	0	2	0	0	2	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species environmental indicator value according to Ellenberg: salt tolerance	1135	0	0	2	0	0	2	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species environmental indicator value according to Ellenberg: temperature	1136	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species generation overlap	1137	0	0	5	0	0	3	2	8	0	0	0	0	0	0	0	10	0	0	0	2	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species genotype: chromosome base number	221	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species habitat characterisation / Plant requirement: precipitation	602	0	0	2	2	0	2	0	2	2	0	0	2	0	0	2	0	0	0	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Species habitat characterisation / Plant requirement: soil pH	600	0	0	2	2	0	2	0	2	2	2	0	2	0	0	2	0	0	0	2	2	2	2	2	2	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Species nutrient requirements	1138	0	0	2	0	0	1	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species occurrence rang: typical abundance where naturally occurring	1139	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species occurrence range characteristics	1140	0	0	28	0	0	28	0	18	0	0	0	0	0	0	0	23	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species occurrence range: altitude of origin	826	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species occurrence range: continentality	823	0	0	5	0	0	5	0	5	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species occurrence range: endemism	244	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species occurrence range: number of floristic zones	200	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species occurrence range: origin zonal	827	0	0	3	0	0	2	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species phyto-sociological group	230	0	0	3	0	0	4	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species reproduction type	208	0	0	2	0	0	1	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species soil moisture requirements	1144	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species soil pH requirement	1142	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species start of CGO formation versus reproduction	1146	0	0	5	0	0	3	2	9	0	0	0	0	0	0	0	12	0	0	0	2	1	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species status (nativity at growth location)	1145	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species strategy type according to Grime	196	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species tolerance to CaCO3	595	0	0	1	1	0	1	0	1	1	0	0	1	0	1	0	0	0	0	1	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Species tolerance to grazing	228	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species tolerance to hedges	598	0	0	1	1	0	1	0	1	1	0	0	1	0	1	0	0	0	0	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Species tolerance to human impact	199	0	0	4	0	0	4	0	4	0	0	0	0	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species tolerance to salt	1254	0	0	1	1	0	1	0	1	1	1	0	1	0	1	1	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
