Trait	TraitID	Anemone cylindrica	Coreopsis lanceolata	Echinacea angustifolia	Echinacea pallida	Echinacea purpurea	Helianthus grosseserratus	Helianthus maximiliani	Heliopsis helianthoides	Hypericum perforatum	Liatris pycnostachya	Monarda fistulosa	Parthenium integrifolium	Pycnanthemum virginianum	Ratibida pinnata	Silphium integrifolium	Silphium laciniatum	Silphium perfoliatum	Silphium terebinthinaceum	Silphium trifoliatum	Solidago canadensis	Solidago rigida	Solidago rugosa	Solidago speciosa	Veronicastrum virginicum	Penstemon digitalis	Coreopsis tripteris	Rudbeckia subtomentosa	Symphyotrichum novae-angliae	Aster	Echinacea tennesseensis	Helenium linifolium	Silphium perfoliatum var perfoliatum	Symphyotrichum adnatum	Heliopsis helianthoides var helianthoides	Silphium integrifolium var integrifolium	Silphium integrifolium var laeve	Silphium perfoliatum var connatum	Silphium terebinthinaceum var luciae-brauniae	Silphium terebinthinaceum var terebinthinaceum
Species US Wetland Indicator	575	0	1	0	0	0	1	1	0	0	1	1	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf carbon (C) content per leaf dry mass	13	0	0	2	0	0	0	2	6	24	0	4	0	0	0	2	2	0	0	0	16	2	5	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
Leaf nitrogen (N) isotope signature (delta 15N)	78	0	0	1	0	0	0	1	1	1	0	8	0	0	0	1	1	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mycorrhiza type	7	0	0	1	0	0	0	2	0	41	0	20	0	15	0	0	0	0	0	0	28	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plant biomass and allometry: Root dry mass per plant	363	0	0	6	1	0	0	0	8	0	5	2	0	0	6	4	6	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plant biomass and allometry: Shoot dry mass (plant aboveground dry mass) per plant	403	0	0	6	1	0	0	0	8	1043	6	2	0	0	8	4	8	0	6	0	0	0	0	0	0	3	0	0	5	0	0	0	0	0	0	0	0	0	0	0
Root diameter	83	0	0	6	1	0	0	0	8	0	5	2	0	0	6	4	6	0	0	0	5	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root length per root dry mass (specific root length, SRL)	1080	0	0	6	1	0	0	0	8	1	4	2	0	0	6	4	6	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root tissue density (root dry mass per root volume)	82	0	0	6	1	0	0	0	8	0	4	2	0	0	6	4	6	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species tolerance to hedges	598	0	0	0	1	1	1	1	0	0	1	2	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf area (in case of compound leaves: leaf, undefined if petiole in- or excluded)	3112	0	0	0	0	1	0	0	0	1	0	2	0	0	1	1	0	0	2	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf area (in case of compound leaves: leaflet, undefined if petiole is in- or excluded)	3113	0	0	0	0	2	0	0	0	3	0	2	0	0	0	2	0	0	3	1	3	0	0	1	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
Leaf dry mass (single leaf)	55	0	0	0	0	1	12	0	17	146	11	73	0	40	12	1	1	0	2	0	838	25	199	10	18	30	0	0	130	13	0	0	0	0	0	0	0	0	0	0
Leaf nitrogen (N) content per leaf	57	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crown (canopy) length: diameter along the longest axis	324	0	0	0	0	0	19	0	20	0	0	20	0	0	10	0	1	0	5	0	20	20	0	0	3	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0
Crown (canopy) width	325	0	0	0	0	0	19	0	20	0	0	20	0	0	10	0	1	0	5	0	20	20	0	0	3	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0
Fine root (absorptive) cross-sectional area	3264	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fine root (absorptive) cross-sectional area of vessel	3246	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fine root (absorptive) cross-sectional area of xylem	3248	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fine root (absorptive) cross-sectional fraction of stele area to absorptive fine root area	2082	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fine root (absorptive) diameter	2038	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fine root (absorptive) fraction of cross-sectional area occupied by xylem	3249	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fine root (absorptive) number of vessels per cross-section	3244	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fine root (absorptive) number of vessels per cross-sectional area	3247	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fine root (absorptive) tissue density (absorptive fine root dry mass per absorptive fine root volume	2037	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fine root (absorptive) vessel diameter	2044	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf area (in case of compound leaves: leaf, petiole included)	3110	0	0	0	0	0	19	0	17	145	5	99	0	39	11	0	0	0	0	0	840	31	196	5	32	30	0	0	124	3	0	0	0	0	0	0	0	0	0	0
Leaf fresh mass	163	0	0	0	0	0	12	0	17	116	7	43	0	10	12	0	1	0	1	0	785	25	199	10	18	0	0	0	130	3	0	0	0	0	0	0	0	0	0	0
Plant biomass and allometry: Stem dry mass per plant	128	0	0	0	0	0	6	0	0	5	0	6	0	0	4	0	0	0	0	0	10	5	5	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
Stem diameter	21	0	0	0	0	0	6	0	0	36	0	6	0	0	4	0	0	0	0	0	20	5	8	0	0	20	0	0	115	0	0	0	0	0	0	0	0	0	0	0
Stem length	326	0	0	0	0	0	6	0	0	0	0	6	0	0	4	0	0	0	0	0	5	5	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	4	0	0	0	0	0	6	0	0	0	0	6	0	0	5	0	1	0	1	0	11	5	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0
Leaf carbon (C) content per leaf area	570	0	0	0	0	0	0	0	4	8	0	0	0	0	0	0	0	0	0	0	11	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf photosynthesis carboxylation capacity (Vcmax) per leaf dry mass (Farquhar model)	185	0	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf photosynthesis electron transport capacity (Jmax) per leaf dry mass (Farquhar model)	270	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf photosynthetic A/Ci curve: intercellular CO2 concentration	3366	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf photosynthetic A/Ci curve: photosynthetic rate per leaf area	3364	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf photosynthetic A/Ci curve: stomata conductance per leaf area	3365	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf photosynthetic A/Ci curve: transpiration rate per leaf area	3367	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plant nutrition mode (heterotrophy)	201	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	1	0	0	6	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
Bark crystals	831	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bark sclereids arrangement	834	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bark secondary compounds: oil, tannins, latex, slime	835	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Budbank height distribution	153	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	12	0	0	99	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0
Budbank seasonality	865	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	8	0	0	64	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
Dispersal unit appendages	892	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
Dispersal unit exposure 	893	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Dispersal unit floating capacity	1263	0	0	0	0	0	0	0	0	256	0	0	0	0	0	0	0	0	0	0	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dispersal unit length	237	0	0	0	0	0	0	0	0	9	6	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
Dispersal unit shape	232	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
Dispersal unit surface structure	894	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dispersal unit thickness 	235	0	0	0	0	0	0	0	0	6	6	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
Dispersal unit width	236	0	0	0	0	0	0	0	0	7	6	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
Flower insemination autogamous or xenogamous	204	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Flower pollinator and type of reward	205	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
Flower sex	213	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Flower sex timing	212	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Flower sexual self-incompatibility mechanism	211	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
Flower sexual syndrome (dichogamy, cleistogamy, dioecious, monoecious)	915	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Flower UV light reflectance	215	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
Leaf area (in case of compound leaves undefined if leaf or leaflet, undefined if petiole is in- or e	3114	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Leaf area (in case of compound leaves: leaflet, petiole excluded)	3109	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	18	0	5	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0
Leaf emergences (pubescence, pruinescence, hairs, spines, thorns)	677	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Leaf inrolling of lamina	62	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Leaf isoprene emission category	937	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf isoprene emission rate per leaf area	938	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf isoprene emission rate per leaf dry mass	939	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf mid vein thickness	104	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf palatability	152	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf perimeter	142	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf photosynthesis rate per stomatal conductance	3128	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf volatile organic carbon (VOC): other than monoterpenes emission	2815	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf water & osmotic potential: Soil volumetric water content at leaf turgor loss point	3089	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf water & osmotic potential: soil water potential at leaf turgor loss point	3088	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Litter decomposition rate	39	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Litter nitrogen (N) content per litter dry mass	70	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Litter phosphorus (P) content per litter dry mass	71	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mycorrhizal colonization: classified fractions of root length that contain mycorrhizae	1433	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mycorrhizal infection intensity	1030	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plant biomass and allometry: Fine root dry mass per plant	473	0	0	0	0	0	0	0	0	5	3	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plant biomass and allometry: Fine root length per plant	2026	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plant biomass and allometry: Leaf dry mass per plant	129	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	5	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plant biomass and allometry: Leaves per plant (emergent, mature, senescent)	1032	0	0	0	0	0	0	0	0	36	0	60	0	60	0	0	0	0	0	0	54	0	0	0	0	44	0	0	109	0	0	0	0	0	0	0	0	0	0	0
Plant biomass and allometry: Plant dry mass	700	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plant biomass and allometry: Reproductive dry mass per plant	130	0	0	0	0	0	0	0	0	467	0	0	0	0	0	0	0	0	0	0	5	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plant biomass and allometry: Seed number per plant	131	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plant biomass and allometry: Wood dry mass per plant dry mass	478	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	5	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plant clonal growth form	341	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	1	0	0	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Plant defence mechanisms: physical	345	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Plant height to plant dry mass ratio	3010	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plant height versus plant width relationship	1016	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Plant light requirement	788	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plant mating system	347	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Plant mono/poly carpic	1029	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plant morphological adaptations: root metamorphoses	814	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plant morphological adaptations: seed or dispersal unit metamorphoses	813	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
Plant morphological adaptations: shoot metamorphoses	817	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Plant morphological adaptations: storage organs	816	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	1	0	0	8	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Plant number of offspring shoots per parent shoot per year	361	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	1	0	0	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Plant ontogeny: age of maturity (first flowering)	155	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	2	0	0	11	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Plant vegetative regeneration species offspring size relative to parent	1008	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	1	0	0	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Plant vegetative reproduction: clonality of ramets	329	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	1	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Plant vegetative reproduction: distance between ramets	149	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plant vegetative reproduction: lateral spread	334	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	1	0	0	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Plant vegetative reproduction: persistence of connection between clonal growth organs	358	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	1	0	0	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Plant vegetative reproduction: role of clonal growth organ in plant growth	357	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	1	0	0	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Pollen diameter	1042	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root morphological adaptations: aerenchyma	815	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root position along clonal growth organ	1093	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	1	0	0	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Root root hair presence	1076	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root type, root architecture	65	0	0	0	0	0	0	0	0	9	0	1	0	1	0	0	0	1	0	0	12	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Seed (seedbank) longevity	33	0	0	0	0	0	0	0	0	248	0	0	0	0	0	0	0	0	0	0	53	1	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
Seed germination stimulation	34	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seed germination temperature	353	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seed germination type	1102	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seed heteromorphy	234	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seed length	27	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seed morphology type	350	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Seed number per dispersal unit	351	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Seed number per flower	1103	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seed number per inflorescence (total, fertile, infertile)	1104	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seed number per ramet	336	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seed number per reproducton unit	138	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seed number per square meter	1105	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seed releasing height	1107	0	0	0	0	0	0	0	0	462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seed shape	349	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seed structure type	1108	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Seed thickness	238	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seed width	239	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seedbank density	1111	0	0	0	0	0	0	0	0	237	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
Seedbank duration	2809	0	0	0	0	0	0	0	0	226	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
Seedbank number of layers	2807	0	0	0	0	0	0	0	0	233	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
Seedbank thickness of top layer	2808	0	0	0	0	0	0	0	0	189	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
Seedbank type	159	0	0	0	0	0	0	0	0	475	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0
Shoot branching type; shoot branching architecture	140	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	1	0	0	9	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
Shoot calcium (Ca) content per shoot dry mass	704	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shoot cyclicity	1118	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	1	0	0	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Shoot emergences (pubescence, hairs, spines, thorns)	1255	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
